"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAR003W",69.9323831080064,-0.0345433982086246,0.214423693908297,-0.161098792670729,0.872015591134598,0.92754275729464
"YAR007C",118.996054585774,0.399059169314929,0.170087154871878,2.34620403648664,0.0189657219750197,0.0611691316803975
"YAR008W",32.4042307611377,0.86998914124133,0.339235350165133,2.56455920887324,0.0103306951868262,0.037199738387684
"YAR009C",745.09532786545,-3.16116895443066,0.159211854930186,-19.855110386201,9.95435805787074e-88,1e-10
"YAR010C",51.8373026597299,2.73764163700619,2.1713435633291,1.26080537563979,0.207378976554774,0.37313658235666
"YAR014C",123.691764342636,-0.230132718750594,0.164753862714454,-1.39682745496202,0.162465464070468,0.314393531978302
"YAR015W",342.245861294186,-2.04090179726054,0.103670115720361,-19.6865006186127,2.81475821938405e-86,1e-10
"YAR018C",46.1386674090567,0.0789861825008684,0.272971835566974,0.289356527704812,0.772308558559558,0.866436198914509
"YAR019C",42.5823737418386,0.252219564686804,0.282341105527474,0.893315070845258,0.371688469463617,0.556693566980567
"YAR020C",4.10419393317705,-0.265506916515388,0.877378424931373,-0.302613910908688,0.762184111897524,0.860366711415673
"YAR023C",14.6462187915122,-0.161362790326995,0.472808389938343,-0.341285801523187,0.73288843570936,0.842560222111229
"YAR027W",116.056634854391,-0.136837848525236,0.176453660432203,-0.775488863138726,0.43805084374783,0.619555733206098
"YAR028W",52.1131505799666,-0.372957833660391,0.245715277883441,-1.5178455197129,0.129053346780631,0.266373287982862
"YAR029W",3.27449931116782,-0.182324611507607,0.990996498036135,-0.183981085572876,0.854028293158034,NA
"YAR031W",12.1290804582861,0.402891696681627,0.587723532903926,0.685512275969197,0.493020716832545,0.667021070689905
"YAR033W",34.5401263341338,-0.622027520252006,0.307293480287733,-2.02421320383879,0.0429482195971269,0.115546283643988
"YAR035C-A",0.219019010833852,0.671958154271725,3.47967603543875,0.193109400825873,0.846873290436492,NA
"YAR035W",49.9276091922421,0.557651756237444,0.270016016423368,2.06525436388589,0.0388989391232821,0.10731463694745
"YAR042W",192.314251661398,-0.422952921600239,0.13195278679555,-3.20533527083114,0.00134905241460171,0.00651868610337537
"YAR050W",39.1196089958445,-0.463141736888528,0.291745912817202,-1.58748320556154,0.112403247690841,0.240000724722738
"YAR064W",4.91474162161501,-0.0493496813999929,0.882177125374205,-0.0559407855639643,0.955388979501152,0.973164460975541
"YAR066W",2.93255848350803,-0.0702743343942158,3.79213062666093,-0.0185316228033248,0.985214750544415,NA
"YAR068W",48.2396427466347,0.411341415789065,0.284762671506235,1.44450609910807,0.148596665345848,0.295464244065174
"YAR071W",98.809242527362,-3.18885864114674,0.614680199971363,-5.1878336756175,2.12754488627771e-07,1.96685829733115e-06
"YBL001C",137.730332061075,0.47820056439508,0.160204564510322,2.98493720111369,0.00283636547802104,0.0124565927250472
